idx,attachment,status,benchmark_mode,resolved_benchmark_mode,interview_methods,strategy_generation_policy,strategy_error,strategy_warning,detail_count,detail_source,checked_detail_count,max_details_per_doc,max_units_per_detail,exact_detail_count,unit_name_detail_count,unmatched_detail_count,skipped_detail_count,uncovered_detail_count,generated_questions,ready_questions,needs_review_questions,model_candidate_questions,model_questions,model_full_questions,model_main_template_followup_questions,model_main_repaired_followup_questions,model_ready_questions,model_origin_ready_questions,model_replaced_by_template_questions,template_inserted_questions,template_fallback_questions,template_fallback_ready_questions,average_score,coverage_adjusted_score,coverage_passed,template_adjusted_passed,strict_template_passed,model_quality_passed,passed,details,exact_details,unit_name_details,unmatched_details,skipped_details,coverage_blocker_type,coverage_blocker_details,resolved_parent_detail,review_action,coverage_blocker_reason,manual_review_suggestions,error
303039,303039_1_직무기술서.zip,template_ready_unit_name_resolved,model,model,"경험면접, 상황면접, 발표면접, 토론면접, 인바스켓면접, 직무지식면접, 창의적 문제해결력면접",model_autonomous_with_ncs_factor_context_and_competency_definition,,,15,explicit,15,15,12,13,2,0,0,0,7,7,0,7,7,7,0,0,7,7,0,0,0,0,1.0,0.0,False,True,False,True,False,스포츠시설운영관리; 보안; 구조물해체; 카지노 고객 지원; 식음료접객; 한식조리; 양식조리; 중식조리; 일식조리; 복어조리; 제과; 제빵; 카지노 영업 지원; 카지노운영관리; 사무행정,스포츠시설운영관리; 보안; 구조물해체; 식음료접객; 한식조리; 양식조리; 중식조리; 일식조리; 복어조리; 제과; 제빵; 카지노운영관리; 사무행정,카지노 고객 지원; 카지노 영업 지원,,,카지노 고객 지원: unit_name_only | 카지노 영업 지원: unit_name_only,"[{""detail"": ""카지노 고객 지원"", ""coverage_status"": ""unit_name_only"", ""coverage_blocker_type"": ""unit_name_only"", ""resolved_parent_detail"": ""카지노운영관리"", ""review_action"": ""manual_review_unit_name"", ""coverage_blocker_reason"": ""No exact detail match; suggestion matched a capability unit name only.""}, {""detail"": ""카지노 영업 지원"", ""coverage_status"": ""unit_name_only"", ""coverage_blocker_type"": ""unit_name_only"", ""resolved_parent_detail"": ""카지노운영관리"", ""review_action"": ""manual_review_unit_name"", ""coverage_blocker_reason"": ""No exact detail match; suggestion matched a capability unit name only.""}]",스포츠시설운영관리: 스포츠시설운영관리 | 보안: 보안 | 구조물해체: 구조물해체 | 카지노 고객 지원: 카지노운영관리 | 식음료접객: 식음료접객 | 한식조리: 한식조리 | 양식조리: 양식조리 | 중식조리: 중식조리 | 일식조리: 일식조리 | 복어조리: 복어조리 | 제과: 제과 | 제빵: 제빵 | 카지노 영업 지원: 카지노운영관리 | 카지노운영관리: 카지노운영관리 | 사무행정: 사무행정,카지노 고객 지원: manual_review_unit_name | 카지노 영업 지원: manual_review_unit_name,카지노 고객 지원: No exact detail match; suggestion matched a capability unit name only. | 카지노 영업 지원: No exact detail match; suggestion matched a capability unit name only.,,
303037,303037_1_3. [KCTI] 직무기술서(위촉연구원).pdf,no_exact_units,model,model,"경험면접, 상황면접, 발표면접, 토론면접, 인바스켓면접, 직무지식면접, 창의적 문제해결력면접",,,,1,explicit,1,15,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,False,False,False,False,문화〮관광정책,,,문화〮관광정책,,문화〮관광정책: known_manual_review_catalog_gap,"[{""detail"": ""문화〮관광정책"", ""coverage_status"": ""unmatched"", ""coverage_blocker_type"": ""known_manual_review_catalog_gap"", ""review_action"": ""manual_review_known_catalog_gap"", ""coverage_blocker_reason"": ""manual-review-only: explicit JD label, but current local NCS_MCP has no exact detail or unit-name coverage""}]",,문화〮관광정책: manual_review_known_catalog_gap,"문화〮관광정책: manual-review-only: explicit JD label, but current local NCS_MCP has no exact detail or unit-name coverage","문화〮관광정책: manual-review-only: explicit JD label, but current local NCS_MCP has no exact detail or unit-name coverage",
303036,303036_1_강원대학교병원 채용 직무 설명자료.pdf,parsed_no_detail,model,model,"경험면접, 상황면접, 발표면접, 토론면접, 인바스켓면접, 직무지식면접, 창의적 문제해결력면접",,,,0,,0,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,False,False,False,False,,,,,,parsed_no_detail,"[{""coverage_status"": ""parsed_no_detail"", ""coverage_blocker_type"": ""parsed_no_detail"", ""review_action"": ""manual_review_parse_or_source_mapping"", ""coverage_blocker_reason"": ""multi_role_healthcare_document_without_explicit_ncs_detail""}]",,manual_review_parse_or_source_mapping,multi_role_healthcare_document_without_explicit_ncs_detail,parsed-no-detail: multi_role_healthcare_document_without_explicit_ncs_detail,
303035,303035_1_강원대학교병원 채용 직무 설명자료.pdf,parsed_no_detail,model,model,"경험면접, 상황면접, 발표면접, 토론면접, 인바스켓면접, 직무지식면접, 창의적 문제해결력면접",,,,0,,0,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,False,False,False,False,,,,,,parsed_no_detail,"[{""coverage_status"": ""parsed_no_detail"", ""coverage_blocker_type"": ""parsed_no_detail"", ""review_action"": ""manual_review_parse_or_source_mapping"", ""coverage_blocker_reason"": ""multi_role_healthcare_document_without_explicit_ncs_detail""}]",,manual_review_parse_or_source_mapping,multi_role_healthcare_document_without_explicit_ncs_detail,parsed-no-detail: multi_role_healthcare_document_without_explicit_ncs_detail,
303034,303034_1_직무기술서(사회복지사).hwp,ok_model,model,model,"경험면접, 상황면접, 발표면접, 토론면접, 인바스켓면접, 직무지식면접, 창의적 문제해결력면접",model_autonomous_with_ncs_factor_context_and_competency_definition,,,1,explicit,1,15,12,1,0,0,0,0,7,7,0,7,7,7,0,0,7,7,0,0,0,0,1.0,1.0,True,True,True,True,True,사회복지 사례관리,사회복지 사례관리,,,,,,사회복지 사례관리: 사회복지사례관리,,,,
303033,303033_1_직무기술서(간호사).hwp,template_ready_partial_detail_coverage,model,model,"경험면접, 상황면접, 발표면접, 토론면접, 인바스켓면접, 직무지식면접, 창의적 문제해결력면접",model_autonomous_with_ncs_factor_context_and_competency_definition,,,4,explicit,4,15,12,2,0,2,0,2,7,7,0,7,7,7,0,0,7,7,0,0,0,0,1.0,0.0,False,True,False,True,False,간호수행; 간호행정관리; 총무; 사무행정,총무; 사무행정,,간호수행; 간호행정관리,,간호수행: specialized_healthcare_label_unserved_by_mcp | 간호행정관리: specialized_healthcare_label_unserved_by_mcp,"[{""detail"": ""간호수행"", ""coverage_status"": ""unmatched"", ""coverage_blocker_type"": ""specialized_healthcare_label_unserved_by_mcp"", ""review_action"": ""manual_review_healthcare_specialized_label"", ""coverage_blocker_reason"": ""Healthcare specialized/NCS-like source label was extracted from the JD, but current MCP serving DB returned no exact official units; do not auto-alias without official catalog evidence.""}, {""detail"": ""간호행정관리"", ""coverage_status"": ""unmatched"", ""coverage_blocker_type"": ""specialized_healthcare_label_unserved_by_mcp"", ""review_action"": ""manual_review_healthcare_specialized_label"", ""coverage_blocker_reason"": ""Healthcare specialized/NCS-like source label was extracted from the JD, but current MCP serving DB returned no exact official units; do not auto-alias without official catalog evidence.""}]",총무: 총무 | 사무행정: 사무행정,간호수행: manual_review_healthcare_specialized_label | 간호행정관리: manual_review_healthcare_specialized_label,"간호수행: Healthcare specialized/NCS-like source label was extracted from the JD, but current MCP serving DB returned no exact official units; do not auto-alias without official catalog evidence. | 간호행정관리: Healthcare specialized/NCS-like source label was extracted from the JD, but current MCP serving DB returned no exact official units; do not auto-alias without official catalog evidence.",간호수행: manual-review-only: no exact local/public NCS hit for nursing-performance label | 간호행정관리: manual-review-only: no exact local/public NCS hit; broad 병원행정 candidates are too weak for automatic coverage,
303031,303031_1_KCTI 26년 직무기술서(위촉연구원).pdf,no_exact_units,model,model,"경험면접, 상황면접, 발표면접, 토론면접, 인바스켓면접, 직무지식면접, 창의적 문제해결력면접",,,,1,explicit,1,15,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,False,False,False,False,문화・관광정책,,,문화・관광정책,,문화・관광정책: known_manual_review_catalog_gap,"[{""detail"": ""문화・관광정책"", ""coverage_status"": ""unmatched"", ""coverage_blocker_type"": ""known_manual_review_catalog_gap"", ""review_action"": ""manual_review_known_catalog_gap"", ""coverage_blocker_reason"": ""manual-review-only: explicit JD label, but current local NCS_MCP has no exact detail or unit-name coverage""}]",,문화・관광정책: manual_review_known_catalog_gap,"문화・관광정책: manual-review-only: explicit JD label, but current local NCS_MCP has no exact detail or unit-name coverage","문화・관광정책: manual-review-only: explicit JD label, but current local NCS_MCP has no exact detail or unit-name coverage",
303019,303019_1_직무기술서.hwp,ok_model,model,model,"경험면접, 상황면접, 발표면접, 토론면접, 인바스켓면접, 직무지식면접, 창의적 문제해결력면접",model_autonomous_with_ncs_factor_context_and_competency_definition,,,1,explicit,1,15,12,1,0,0,0,0,7,7,0,7,7,7,0,0,7,7,0,0,0,0,1.0,1.0,True,True,True,True,True,화물운송,화물운송,,,,,,화물운송: 화물운송,,,,
